날짜,지점명,담당자명,병원명,segment,activities,품목,품목규격,처방수량,처방금액,월
2025-01-31,경기북부,경기북부_사원3,서초_D_병원_4,종합병원,컨택,담솔정,5mg,130,66950,1
2025-01-07,서울1본부,서울1본부_사원3,수원_C_병원_2,종합병원,니즈환기,포트폴듀오정,250mg,170,90100,1
2025-01-29,광주지점,광주지점_사원4,송파_D_병원_3,상급종합,니즈환기,데이터패치,10매,677,2031000,1
2025-01-29,광주지점,광주지점_사원4,송파_D_병원_3,상급종합,니즈환기,포트폴듀오정,50mg,665,152950,1
2025-01-22,광주지점,광주지점_사원6,수원_C_병원_8,일반의원,시연,포트폴듀오정,100mg,44,14520,1
2025-01-22,광주지점,광주지점_사원6,수원_C_병원_8,일반의원,시연,아키정,250mg,35,112000,1
2025-01-27,광주지점,광주지점_사원5,마포_D_병원_5,상급종합,대면,데이터패치,10매,224,672000,1
2025-01-27,광주지점,광주지점_사원5,마포_D_병원_5,상급종합,대면,담솔정,5mg,567,292005,1
2025-01-12,충청지점,충청지점_사원2,춘천_B_병원_8,종합병원,니즈환기,담솔정,10mg,48,40896,1
2025-01-12,충청지점,충청지점_사원2,춘천_B_병원_8,종합병원,니즈환기,인장캡슐,400mg,232,497640,1
2025-01-03,강원지점,강원지점_1팀장,춘천_C_병원_6,상급종합,시연,벨로정,2.5mg,588,205800,1
2025-01-08,서울1본부,서울1본부_1팀장,서초_B_병원_1,상급종합,컨택,아키정,250mg,687,2198400,1
2025-01-08,서울1본부,서울1본부_1팀장,서초_B_병원_1,상급종합,컨택,벨로정,2.5mg,707,247450,1
2025-01-12,충청지점,충청지점_사원1,해운대_C_병원_10,일반의원,클로징,인장캡슐,200mg,27,33210,1
2025-01-17,서울1본부,서울1본부_사원3,송파_A_병원_2,일반의원,컨택,포트폴듀오정,150mg,32,13760,1
2025-01-26,대구지점,대구지점_사원2,서초_B_병원_5,일반의원,클로징,아키정,100mg,36,54000,1
2025-01-01,광주지점,광주지점_사원4,해운대_A_병원_10,상급종합,니즈환기,벨로정,2.5mg,468,163800,1
2025-01-11,광주지점,광주지점_사원6,상무_C_병원_6,일반의원,대면,데이터패치,10매,34,102000,1
2025-01-11,광주지점,광주지점_사원6,상무_C_병원_6,일반의원,대면,인장캡슐,200mg,47,57810,1
2025-01-15,경기북부,경기북부_사원5,둔산_A_병원_7,상급종합,PT,포트폴듀오정,50mg,566,130180,1
2025-01-23,경기남부,경기남부_사원5,상무_A_병원_4,일반의원,컨택,담솔정,5mg,31,15965,1
2025-01-04,대구지점,대구지점_사원5,수성구_C_병원_3,종합병원,컨택,데이터패치,10매,75,225000,1
2025-01-04,대구지점,대구지점_사원5,수성구_C_병원_3,종합병원,컨택,벨로정,2.5mg,91,31850,1
2025-01-14,부산지점,부산지점_사원1,수원_A_병원_8,종합병원,시연,포트폴듀오정,50mg,238,54740,1
2025-01-14,부산지점,부산지점_사원1,수원_A_병원_8,종합병원,시연,담솔정,5mg,34,17510,1
2025-01-21,강원지점,강원지점_사원5,수성구_D_병원_3,종합병원,컨택,벨로정,2.5mg,73,25550,1
2025-01-21,강원지점,강원지점_사원5,수성구_D_병원_3,종합병원,컨택,담솔정,5mg,131,67465,1
2025-01-02,경기북부,경기북부_1팀장,서초_C_병원_7,종합병원,PT,벨로정,2.5mg,284,99400,1
2025-01-09,광주지점,광주지점_사원2,해운대_A_병원_1,일반의원,대면,포트폴듀오정,50mg,27,6210,1
2025-01-09,광주지점,광주지점_사원2,해운대_A_병원_1,일반의원,대면,인장캡슐,200mg,11,13530,1
2025-01-25,광주지점,광주지점_사원1,수성구_D_병원_5,종합병원,클로징,아키정,250mg,95,304000,1
2025-01-25,광주지점,광주지점_사원1,수성구_D_병원_5,종합병원,클로징,데이터패치,10매,294,882000,1
2025-01-15,서울2본부,서울2본부_사원5,마포_C_병원_7,일반의원,피드백,인장캡슐,200mg,26,31980,1
2025-01-15,서울2본부,서울2본부_사원5,마포_C_병원_7,일반의원,피드백,아키정,250mg,10,32000,1
2025-01-29,광주지점,광주지점_사원3,상무_A_병원_4,종합병원,대면,포트폴듀오정,100mg,224,73920,1
2025-01-19,충청지점,충청지점_1팀장,수원_C_병원_1,종합병원,니즈환기,포트폴듀오정,150mg,298,128140,1
2025-01-19,충청지점,충청지점_1팀장,수원_C_병원_1,종합병원,니즈환기,인장캡슐,400mg,270,579150,1
2025-01-22,부산지점,부산지점_사원7,마포_C_병원_6,일반의원,접근,인장캡슐,400mg,22,47190,1
2025-01-17,서울2본부,서울2본부_사원5,수원_B_병원_5,일반의원,니즈환기,베라스트정,300mg,34,18020,1
2025-01-17,서울2본부,서울2본부_사원5,수원_B_병원_5,일반의원,니즈환기,포트폴듀오정,50mg,25,5750,1
2025-01-22,강원지점,강원지점_사원6,강남_A_병원_2,종합병원,컨택,아키정,250mg,183,585600,1
2025-01-22,강원지점,강원지점_사원6,강남_A_병원_2,종합병원,컨택,인장캡슐,400mg,150,321750,1
2025-01-10,대구지점,대구지점_사원6,마포_C_병원_5,일반의원,컨택,베라스트정,600mg,12,7560,1
2025-01-23,대구지점,대구지점_사원2,강남_A_병원_4,상급종합,접근,데이터패치,10매,429,1287000,1
2025-01-23,대구지점,대구지점_사원2,강남_A_병원_4,상급종합,접근,인장캡슐,400mg,606,1299870,1
2025-01-04,강원지점,강원지점_사원7,해운대_C_병원_5,일반의원,니즈환기,아키정,100mg,34,51000,1
2025-01-20,광주지점,광주지점_사원1,둔산_C_병원_2,일반의원,니즈환기,담솔정,5mg,42,21630,1
2025-01-20,광주지점,광주지점_사원1,둔산_C_병원_2,일반의원,니즈환기,베라스트정,600mg,7,4410,1
2025-01-28,충청지점,충청지점_사원4,마포_A_병원_8,종합병원,대면,인장캡슐,400mg,126,270270,1
2025-01-28,충청지점,충청지점_사원4,마포_A_병원_8,종합병원,대면,포트폴듀오정,100mg,277,91410,1
2025-01-29,서울1본부,서울1본부_사원5,수성구_B_병원_1,종합병원,피드백,벨로정,2.5mg,205,71750,1
2025-01-29,서울1본부,서울1본부_사원5,수성구_B_병원_1,종합병원,피드백,아키정,100mg,257,385500,1
2025-01-07,대구지점,대구지점_사원3,춘천_B_병원_5,일반의원,시연,베라스트정,600mg,23,14490,1
2025-01-23,대구지점,대구지점_사원2,수성구_D_병원_9,상급종합,시연,인장캡슐,400mg,578,1239810,1
2025-01-23,대구지점,대구지점_사원2,수성구_D_병원_9,상급종합,시연,포트폴듀오정,50mg,120,27600,1
2025-01-22,충청지점,충청지점_사원3,송파_D_병원_5,종합병원,대면,포트폴듀오정,250mg,299,158470,1
2025-01-22,충청지점,충청지점_사원3,송파_D_병원_5,종합병원,대면,베라스트정,600mg,246,154980,1
2025-01-07,경기북부,경기북부_사원4,강남_D_병원_4,상급종합,컨택,인장캡슐,200mg,501,616230,1
2025-01-07,경기북부,경기북부_사원4,강남_D_병원_4,상급종합,컨택,인장캡슐,400mg,304,652080,1
2025-01-24,경기북부,경기북부_사원1,수성구_B_병원_7,종합병원,니즈환기,포트폴듀오정,100mg,61,20130,1
2025-01-08,충청지점,충청지점_사원1,수성구_D_병원_4,상급종합,시연,베라스트정,600mg,313,197190,1
2025-01-23,부산지점,부산지점_사원4,둔산_D_병원_2,일반의원,PT,벨로정,2.5mg,24,8400,1
2025-01-21,경기북부,경기북부_사원6,서초_B_병원_2,종합병원,PT,베라스트정,600mg,172,108360,1
2025-01-06,충청지점,충청지점_사원7,둔산_B_병원_6,종합병원,피드백,인장캡슐,400mg,193,413985,1
2025-01-06,충청지점,충청지점_사원7,둔산_B_병원_6,종합병원,피드백,베라스트정,300mg,73,38690,1
2025-01-05,부산지점,부산지점_사원5,해운대_A_병원_8,일반의원,PT,인장캡슐,200mg,30,36900,1
2025-01-25,부산지점,부산지점_1팀장,해운대_C_병원_8,종합병원,피드백,포트폴듀오정,50mg,153,35190,1
2025-01-12,경기북부,경기북부_사원5,수성구_B_병원_8,일반의원,접근,포트폴듀오정,100mg,43,14190,1
2025-01-27,대구지점,대구지점_사원2,춘천_A_병원_2,일반의원,대면,인장캡슐,400mg,30,64350,1
2025-01-01,충청지점,충청지점_사원1,송파_A_병원_2,종합병원,피드백,담솔정,5mg,187,96305,1
2025-01-24,경기남부,경기남부_사원1,수성구_A_병원_2,종합병원,PT,벨로정,2.5mg,35,12250,1
2025-01-24,경기남부,경기남부_사원1,수성구_A_병원_2,종합병원,PT,아키정,250mg,272,870400,1
2025-01-04,대구지점,대구지점_1팀장,춘천_A_병원_8,종합병원,PT,포트폴듀오정,100mg,41,13530,1
2025-01-08,광주지점,광주지점_사원3,해운대_B_병원_5,상급종합,PT,포트폴듀오정,100mg,764,252120,1
2025-01-08,광주지점,광주지점_사원3,해운대_B_병원_5,상급종합,PT,데이터패치,10매,612,1836000,1
2025-01-27,대구지점,대구지점_사원4,서초_B_병원_1,상급종합,시연,베라스트정,300mg,161,85330,1
2025-01-31,충청지점,충청지점_사원6,수성구_D_병원_7,상급종합,컨택,베라스트정,600mg,599,377370,1
2025-01-31,충청지점,충청지점_사원6,수성구_D_병원_7,상급종합,컨택,인장캡슐,200mg,465,571950,1
2025-01-02,충청지점,충청지점_1팀장,송파_C_병원_9,종합병원,컨택,포트폴듀오정,150mg,223,95890,1
2025-01-10,충청지점,충청지점_1팀장,수원_B_병원_4,일반의원,컨택,베라스트정,600mg,24,15120,1
2025-01-25,충청지점,충청지점_사원5,해운대_B_병원_1,일반의원,피드백,인장캡슐,200mg,49,60270,1
2025-01-25,충청지점,충청지점_사원5,해운대_B_병원_1,일반의원,피드백,포트폴듀오정,50mg,46,10580,1
2025-01-30,경기남부,경기남부_사원3,수성구_A_병원_9,일반의원,접근,인장캡슐,400mg,21,45045,1
2025-01-10,경기남부,경기남부_사원3,강남_C_병원_5,일반의원,대면,포트폴듀오정,150mg,5,2150,1
2025-01-10,경기남부,경기남부_사원3,강남_C_병원_5,일반의원,대면,아키정,250mg,34,108800,1
2025-01-23,서울1본부,서울1본부_사원5,해운대_A_병원_6,종합병원,대면,아키정,100mg,216,324000,1
2025-01-23,서울1본부,서울1본부_사원5,해운대_A_병원_6,종합병원,대면,포트폴듀오정,150mg,257,110510,1
2025-01-30,경기남부,경기남부_사원5,둔산_A_병원_4,상급종합,컨택,담솔정,10mg,678,577656,1
2025-01-30,경기남부,경기남부_사원5,둔산_A_병원_4,상급종합,컨택,베라스트정,300mg,672,356160,1
2025-01-20,충청지점,충청지점_사원3,마포_A_병원_4,종합병원,PT,포트폴듀오정,50mg,219,50370,1
2025-01-18,경기남부,경기남부_사원6,상무_C_병원_4,상급종합,시연,인장캡슐,400mg,142,304590,1
2025-01-08,충청지점,충청지점_사원7,강남_D_병원_5,종합병원,컨택,인장캡슐,400mg,166,356070,1
2025-01-23,경기북부,경기북부_사원5,강남_B_병원_8,종합병원,접근,담솔정,10mg,129,109908,1
2025-01-30,충청지점,충청지점_사원4,수성구_A_병원_3,종합병원,클로징,인장캡슐,200mg,256,314880,1
2025-01-18,서울1본부,서울1본부_사원3,수원_C_병원_2,일반의원,PT,베라스트정,300mg,32,16960,1
2025-01-25,충청지점,충청지점_사원4,수성구_D_병원_1,종합병원,컨택,아키정,250mg,273,873600,1
2025-01-25,충청지점,충청지점_사원4,수성구_D_병원_1,종합병원,컨택,데이터패치,10매,237,711000,1
2025-01-21,부산지점,부산지점_사원2,해운대_D_병원_8,상급종합,시연,데이터패치,10매,298,894000,1
2025-01-24,서울2본부,서울2본부_사원1,서초_C_병원_8,일반의원,니즈환기,아키정,100mg,9,13500,1
2025-01-11,경기북부,경기북부_사원1,송파_A_병원_1,상급종합,니즈환기,베라스트정,600mg,326,205380,1
2025-01-29,대구지점,대구지점_사원6,송파_C_병원_6,상급종합,PT,데이터패치,10매,422,1266000,1
2025-01-29,대구지점,대구지점_사원6,송파_C_병원_6,상급종합,PT,포트폴듀오정,150mg,204,87720,1
2025-01-18,대구지점,대구지점_1팀장,서초_C_병원_1,일반의원,시연,인장캡슐,200mg,9,11070,1
2025-01-25,경기남부,경기남부_사원7,수원_D_병원_8,상급종합,PT,베라스트정,300mg,798,422940,1
2025-01-13,경기남부,경기남부_사원5,수성구_A_병원_2,일반의원,니즈환기,포트폴듀오정,150mg,18,7740,1
2025-01-13,경기남부,경기남부_사원5,수성구_A_병원_2,일반의원,니즈환기,아키정,250mg,25,80000,1
2025-01-04,경기북부,경기북부_사원3,춘천_A_병원_3,상급종합,PT,포트폴듀오정,50mg,374,86020,1
2025-01-22,강원지점,강원지점_사원2,해운대_D_병원_6,일반의원,접근,포트폴듀오정,250mg,21,11130,1
2025-01-07,강원지점,강원지점_사원1,둔산_A_병원_5,종합병원,컨택,데이터패치,10매,172,516000,1
2025-01-07,강원지점,강원지점_사원1,둔산_A_병원_5,종합병원,컨택,벨로정,2.5mg,153,53550,1
2025-01-13,경기남부,경기남부_사원7,마포_B_병원_8,일반의원,니즈환기,포트폴듀오정,150mg,25,10750,1
2025-01-22,부산지점,부산지점_1팀장,강남_D_병원_2,상급종합,대면,베라스트정,300mg,494,261820,1
2025-01-22,부산지점,부산지점_1팀장,강남_D_병원_2,상급종합,대면,벨로정,2.5mg,334,116900,1
2025-01-16,경기남부,경기남부_사원3,수원_D_병원_5,일반의원,대면,담솔정,10mg,46,39192,1
2025-01-16,경기남부,경기남부_사원3,수원_D_병원_5,일반의원,대면,포트폴듀오정,250mg,28,14840,1
2025-01-04,광주지점,광주지점_사원1,서초_C_병원_6,상급종합,컨택,포트폴듀오정,50mg,421,96830,1
2025-01-04,광주지점,광주지점_사원1,서초_C_병원_6,상급종합,컨택,인장캡슐,200mg,483,594090,1
2025-01-22,대구지점,대구지점_사원2,춘천_B_병원_1,종합병원,클로징,인장캡슐,200mg,255,313650,1
2025-01-23,서울2본부,서울2본부_사원7,해운대_D_병원_6,종합병원,니즈환기,베라스트정,600mg,99,62370,1
2025-01-23,서울2본부,서울2본부_사원7,해운대_D_병원_6,종합병원,니즈환기,베라스트정,300mg,298,157940,1
2025-01-11,부산지점,부산지점_사원6,송파_A_병원_9,상급종합,클로징,아키정,100mg,200,300000,1
2025-01-12,부산지점,부산지점_사원4,둔산_B_병원_6,상급종합,피드백,담솔정,10mg,363,309276,1
2025-01-12,부산지점,부산지점_사원4,둔산_B_병원_6,상급종합,피드백,인장캡슐,400mg,297,637065,1
2025-01-24,서울2본부,서울2본부_1팀장,수성구_B_병원_8,종합병원,PT,인장캡슐,200mg,234,287820,1
2025-01-17,충청지점,충청지점_사원2,수성구_C_병원_7,일반의원,클로징,인장캡슐,200mg,10,12300,1
2025-01-04,경기남부,경기남부_사원4,송파_C_병원_9,일반의원,시연,베라스트정,300mg,40,21200,1
2025-01-04,경기남부,경기남부_사원4,송파_C_병원_9,일반의원,시연,인장캡슐,200mg,36,44280,1
2025-01-14,부산지점,부산지점_사원5,송파_C_병원_5,종합병원,컨택,담솔정,10mg,91,77532,1
2025-01-13,서울1본부,서울1본부_사원1,해운대_B_병원_3,종합병원,접근,인장캡슐,400mg,200,429000,1
2025-01-13,서울1본부,서울1본부_사원1,해운대_B_병원_3,종합병원,접근,포트폴듀오정,250mg,300,159000,1
2025-01-18,강원지점,강원지점_사원5,춘천_D_병원_2,일반의원,니즈환기,베라스트정,600mg,42,26460,1
2025-01-01,부산지점,부산지점_사원2,서초_B_병원_3,일반의원,접근,인장캡슐,200mg,17,20910,1
2025-01-01,부산지점,부산지점_사원2,서초_B_병원_3,일반의원,접근,벨로정,2.5mg,43,15050,1
2025-01-22,경기북부,경기북부_사원6,수원_B_병원_6,상급종합,시연,베라스트정,300mg,511,270830,1
2025-01-22,경기북부,경기북부_사원6,수원_B_병원_6,상급종합,시연,아키정,100mg,715,1072500,1
2025-01-20,서울2본부,서울2본부_사원2,마포_A_병원_4,일반의원,시연,데이터패치,10매,7,21000,1
2025-01-27,대전지점,대전지점_사원7,강남_C_병원_7,종합병원,컨택,포트폴듀오정,100mg,230,75900,1
2025-01-27,대전지점,대전지점_사원7,강남_C_병원_7,종합병원,컨택,포트폴듀오정,50mg,161,37030,1
2025-01-30,경기북부,경기북부_사원4,강남_C_병원_1,종합병원,시연,벨로정,2.5mg,106,37100,1
2025-01-30,경기북부,경기북부_사원4,강남_C_병원_1,종합병원,시연,베라스트정,600mg,246,154980,1
2025-01-28,경기북부,경기북부_사원5,둔산_B_병원_1,상급종합,대면,포트폴듀오정,250mg,231,122430,1
2025-01-28,경기북부,경기북부_사원5,둔산_B_병원_1,상급종합,대면,포트폴듀오정,50mg,172,39560,1
2025-01-12,서울2본부,서울2본부_사원2,춘천_D_병원_2,상급종합,컨택,베라스트정,600mg,221,139230,1
2025-01-12,서울2본부,서울2본부_사원2,춘천_D_병원_2,상급종합,컨택,아키정,100mg,378,567000,1
2025-01-20,경기북부,경기북부_사원6,마포_D_병원_3,일반의원,PT,아키정,250mg,10,32000,1
2025-01-20,경기북부,경기북부_사원6,마포_D_병원_3,일반의원,PT,베라스트정,600mg,38,23940,1
2025-01-21,부산지점,부산지점_사원6,서초_D_병원_7,상급종합,시연,인장캡슐,200mg,337,414510,1
2025-01-21,부산지점,부산지점_사원6,서초_D_병원_7,상급종합,시연,포트폴듀오정,250mg,420,222600,1
2025-01-24,광주지점,광주지점_사원7,수원_C_병원_9,일반의원,니즈환기,벨로정,2.5mg,46,16100,1
2025-01-22,충청지점,충청지점_사원7,강남_B_병원_4,상급종합,클로징,베라스트정,300mg,677,358810,1
2025-01-22,충청지점,충청지점_사원7,강남_B_병원_4,상급종합,클로징,포트폴듀오정,100mg,137,45210,1
2025-01-09,경기남부,경기남부_사원4,춘천_B_병원_9,일반의원,시연,데이터패치,10매,29,87000,1
2025-01-09,경기남부,경기남부_사원4,춘천_B_병원_9,일반의원,시연,포트폴듀오정,250mg,33,17490,1
2025-01-06,경기남부,경기남부_사원6,마포_B_병원_10,종합병원,피드백,아키정,100mg,114,171000,1
2025-01-10,대구지점,대구지점_사원6,수원_D_병원_5,일반의원,피드백,베라스트정,300mg,39,20670,1
2025-01-10,대구지점,대구지점_사원6,수원_D_병원_5,일반의원,피드백,아키정,250mg,9,28800,1
2025-01-13,서울2본부,서울2본부_사원6,마포_C_병원_9,상급종합,니즈환기,아키정,250mg,403,1289600,1
2025-01-28,충청지점,충청지점_사원4,상무_C_병원_9,종합병원,컨택,데이터패치,10매,104,312000,1
2025-01-11,충청지점,충청지점_1팀장,수원_A_병원_8,상급종합,피드백,담솔정,5mg,147,75705,1
2025-01-11,충청지점,충청지점_1팀장,수원_A_병원_8,상급종합,피드백,담솔정,10mg,568,483936,1
2025-01-03,충청지점,충청지점_사원6,상무_A_병원_4,일반의원,니즈환기,데이터패치,10매,13,39000,1
2025-01-15,서울1본부,서울1본부_1팀장,상무_B_병원_2,종합병원,피드백,베라스트정,300mg,30,15900,1
2025-01-11,강원지점,강원지점_1팀장,둔산_A_병원_4,상급종합,피드백,담솔정,10mg,363,309276,1
2025-01-11,강원지점,강원지점_1팀장,둔산_A_병원_4,상급종합,피드백,포트폴듀오정,50mg,799,183770,1
2025-01-24,경기북부,경기북부_사원5,상무_D_병원_5,상급종합,피드백,포트폴듀오정,50mg,731,168130,1
2025-01-14,광주지점,광주지점_사원4,수성구_A_병원_6,일반의원,대면,담솔정,5mg,42,21630,1
2025-01-28,서울2본부,서울2본부_사원1,송파_D_병원_1,일반의원,대면,베라스트정,600mg,28,17640,1
2025-01-28,서울2본부,서울2본부_사원1,송파_D_병원_1,일반의원,대면,인장캡슐,400mg,26,55770,1
2025-01-11,대전지점,대전지점_사원1,해운대_C_병원_3,일반의원,접근,벨로정,2.5mg,33,11550,1
2025-01-11,대전지점,대전지점_사원1,해운대_C_병원_3,일반의원,접근,포트폴듀오정,150mg,6,2580,1
2025-01-26,서울2본부,서울2본부_사원5,서초_C_병원_4,종합병원,피드백,인장캡슐,400mg,85,182325,1
2025-01-26,서울2본부,서울2본부_사원5,서초_C_병원_4,종합병원,피드백,담솔정,10mg,42,35784,1
2025-01-06,충청지점,충청지점_사원2,서초_B_병원_5,상급종합,PT,벨로정,2.5mg,316,110600,1
2025-01-21,경기남부,경기남부_사원2,수성구_B_병원_6,상급종합,니즈환기,포트폴듀오정,50mg,797,183310,1
2025-01-17,서울2본부,서울2본부_사원1,마포_D_병원_2,상급종합,니즈환기,벨로정,2.5mg,339,118650,1
2025-01-17,서울2본부,서울2본부_사원1,마포_D_병원_2,상급종합,니즈환기,담솔정,10mg,768,654336,1
2025-01-17,광주지점,광주지점_사원3,송파_B_병원_6,종합병원,시연,인장캡슐,400mg,121,259545,1
2025-01-29,충청지점,충청지점_사원4,상무_B_병원_4,종합병원,컨택,인장캡슐,200mg,273,335790,1
2025-01-09,경기남부,경기남부_사원3,춘천_A_병원_5,상급종합,접근,포트폴듀오정,100mg,419,138270,1
2025-01-09,대전지점,대전지점_사원4,송파_A_병원_1,일반의원,컨택,인장캡슐,400mg,30,64350,1
2025-01-09,대전지점,대전지점_사원4,송파_A_병원_1,일반의원,컨택,아키정,250mg,50,160000,1
2025-01-24,충청지점,충청지점_사원2,춘천_B_병원_1,일반의원,시연,담솔정,10mg,12,10224,1
2025-01-29,경기남부,경기남부_사원7,춘천_B_병원_7,일반의원,컨택,벨로정,2.5mg,17,5950,1
2025-01-25,강원지점,강원지점_1팀장,서초_D_병원_4,상급종합,컨택,포트폴듀오정,250mg,496,262880,1
2025-01-12,서울1본부,서울1본부_사원6,서초_B_병원_2,일반의원,대면,포트폴듀오정,150mg,28,12040,1
2025-01-04,부산지점,부산지점_사원3,수원_A_병원_10,상급종합,시연,포트폴듀오정,50mg,316,72680,1
2025-01-10,충청지점,충청지점_사원4,수성구_B_병원_5,일반의원,니즈환기,벨로정,2.5mg,19,6650,1
2025-01-10,충청지점,충청지점_사원4,수성구_B_병원_5,일반의원,니즈환기,아키정,100mg,11,16500,1
2025-01-18,서울2본부,서울2본부_1팀장,둔산_D_병원_7,상급종합,피드백,포트폴듀오정,150mg,161,69230,1
2025-01-18,서울2본부,서울2본부_1팀장,둔산_D_병원_7,상급종합,피드백,베라스트정,300mg,544,288320,1
2025-01-16,서울2본부,서울2본부_사원7,수원_B_병원_1,종합병원,시연,아키정,250mg,229,732800,1
2025-01-21,서울1본부,서울1본부_사원4,해운대_A_병원_7,종합병원,대면,인장캡슐,200mg,201,247230,1
2025-01-21,서울1본부,서울1본부_사원4,해운대_A_병원_7,종합병원,대면,담솔정,10mg,42,35784,1
2025-01-17,대전지점,대전지점_사원2,상무_C_병원_8,일반의원,시연,담솔정,10mg,13,11076,1
2025-01-17,대전지점,대전지점_사원2,상무_C_병원_8,일반의원,시연,포트폴듀오정,50mg,24,5520,1
2025-01-21,대구지점,대구지점_사원4,수성구_B_병원_7,종합병원,피드백,포트폴듀오정,150mg,256,110080,1
2025-01-21,대구지점,대구지점_사원4,수성구_B_병원_7,종합병원,피드백,벨로정,2.5mg,75,26250,1
2025-01-15,서울1본부,서울1본부_사원6,둔산_D_병원_7,일반의원,시연,베라스트정,600mg,43,27090,1
2025-01-15,서울1본부,서울1본부_사원6,둔산_D_병원_7,일반의원,시연,담솔정,5mg,14,7210,1
2025-01-28,광주지점,광주지점_사원5,강남_C_병원_8,종합병원,접근,포트폴듀오정,250mg,96,50880,1
2025-01-05,서울1본부,서울1본부_사원5,상무_A_병원_1,종합병원,니즈환기,인장캡슐,200mg,149,183270,1
2025-01-05,서울1본부,서울1본부_사원5,상무_A_병원_1,종합병원,니즈환기,담솔정,5mg,34,17510,1
2025-01-04,경기북부,경기북부_사원1,마포_D_병원_6,일반의원,PT,베라스트정,300mg,43,22790,1
2025-01-10,강원지점,강원지점_사원5,춘천_B_병원_4,상급종합,대면,포트폴듀오정,100mg,252,83160,1
2025-01-24,경기남부,경기남부_사원5,수성구_C_병원_9,종합병원,니즈환기,포트폴듀오정,50mg,76,17480,1
2025-01-24,경기남부,경기남부_사원5,수성구_C_병원_9,종합병원,니즈환기,담솔정,10mg,253,215556,1
2025-01-05,광주지점,광주지점_사원1,서초_B_병원_6,일반의원,대면,베라스트정,300mg,21,11130,1
2025-01-04,경기북부,경기북부_사원4,서초_A_병원_4,상급종합,컨택,인장캡슐,400mg,236,506220,1
2025-01-20,서울1본부,서울1본부_사원5,서초_A_병원_3,종합병원,PT,베라스트정,600mg,117,73710,1
2025-01-20,서울1본부,서울1본부_사원5,서초_A_병원_3,종합병원,PT,아키정,250mg,245,784000,1
2025-01-18,서울1본부,서울1본부_사원3,수원_C_병원_2,일반의원,클로징,데이터패치,10매,25,75000,1
2025-01-18,서울1본부,서울1본부_사원3,수원_C_병원_2,일반의원,클로징,벨로정,2.5mg,12,4200,1
2025-01-25,충청지점,충청지점_사원6,수원_B_병원_9,종합병원,시연,벨로정,2.5mg,46,16100,1
2025-01-25,충청지점,충청지점_사원6,수원_B_병원_9,종합병원,시연,베라스트정,300mg,245,129850,1
2025-01-29,광주지점,광주지점_사원6,송파_B_병원_10,상급종합,니즈환기,아키정,100mg,215,322500,1
2025-01-29,광주지점,광주지점_사원6,송파_B_병원_10,상급종합,니즈환기,담솔정,5mg,407,209605,1
2025-01-11,서울2본부,서울2본부_1팀장,수원_A_병원_1,상급종합,PT,베라스트정,600mg,457,287910,1
2025-01-11,서울2본부,서울2본부_1팀장,수원_A_병원_1,상급종합,PT,인장캡슐,400mg,611,1310595,1
